"Date","Price","Open","High","Low","Vol.","Change %"
"Feb 25, 2019","159.12","159.12","159.12","159.12","-","0.61%"
"Feb 22, 2019","158.16","158.16","158.16","158.16","-","-0.81%"
"Feb 21, 2019","159.45","159.45","159.45","159.45","-","-0.18%"
"Feb 20, 2019","159.74","159.74","159.74","159.74","-","0.17%"
"Feb 19, 2019","159.47","159.47","159.47","159.47","-","0.92%"
"Feb 18, 2019","158.01","158.01","158.01","158.01","-","1.52%"
"Feb 15, 2019","155.65","155.65","155.65","155.65","-","-0.60%"
"Feb 14, 2019","156.59","156.59","156.59","156.59","-","-0.25%"
"Feb 13, 2019","156.99","156.99","156.99","156.99","-","-0.30%"
"Feb 12, 2019","157.46","157.46","157.46","157.46","-","-0.34%"
"Feb 11, 2019","158.00","158.00","158.00","158.00","-","0.13%"
"Feb 08, 2019","157.79","157.79","157.79","157.79","-","0.62%"
"Feb 07, 2019","156.81","156.81","156.81","156.81","-","0.32%"
"Feb 06, 2019","156.31","156.31","156.31","156.31","-","1.40%"
"Feb 05, 2019","154.15","154.15","154.15","154.15","-","-0.86%"
"Feb 04, 2019","155.49","155.49","155.49","155.49","-","1.15%"
"Feb 01, 2019","153.72","153.72","153.72","153.72","-","-0.82%"
"Jan 31, 2019","154.99","154.99","154.99","154.99","-","-0.99%"
"Jan 30, 2019","156.54","156.54","156.54","156.54","-","-0.60%"
"Jan 29, 2019","157.48","157.48","157.48","157.48","-","0.87%"
"Jan 28, 2019","156.12","156.12","156.12","156.12","-","0.60%"
"Jan 24, 2019","155.19","155.19","155.19","155.19","-","-0.35%"
"Jan 23, 2019","155.73","155.73","155.73","155.73","-","-0.35%"
"Jan 22, 2019","156.27","156.27","156.27","156.27","-","1.28%"
"Jan 21, 2019","154.30","154.30","154.30","154.30","-","-0.03%"
"Jan 18, 2019","154.34","154.34","154.34","154.34","-","-0.03%"
"Jan 17, 2019","154.38","154.38","154.38","154.38","-","-0.35%"
"Jan 16, 2019","154.92","154.92","154.92","154.92","-","1.49%"
"Jan 15, 2019","152.65","152.65","152.65","152.65","-","0.36%"
"Jan 14, 2019","152.10","152.10","152.10","152.10","-","-0.93%"
"Jan 11, 2019","153.53","153.53","153.53","153.53","-","0.64%"
"Jan 10, 2019","152.56","152.56","152.56","152.56","-","0.30%"
"Jan 09, 2019","152.10","152.10","152.10","152.10","-","-0.52%"
"Jan 08, 2019","152.89","152.89","152.89","152.89","-","-1.80%"
"Jan 07, 2019","155.69","155.69","155.69","155.69","-","-0.03%"
"Jan 04, 2019","155.73","155.73","155.73","155.73","-","0.10%"
"Jan 03, 2019","155.57","155.57","155.57","155.57","-","-0.63%"
"Jan 02, 2019","156.56","156.56","156.56","156.56","-","-1.04%"
"Dec 28, 2018","158.20","158.20","158.20","158.20","-","-0.03%"
"Dec 27, 2018","158.24","158.24","158.24","158.24","-","0.10%"
"Dec 26, 2018","158.08","158.08","158.08","158.08","-","1.17%"
"Dec 21, 2018","156.25","156.25","156.25","156.25","-","-0.57%"
"Dec 20, 2018","157.14","157.14","157.14","157.14","-","0.26%"
"Dec 19, 2018","156.73","156.73","156.73","156.73","-","0.68%"
"Dec 18, 2018","155.67","155.67","155.67","155.67","-","0.23%"
"Dec 17, 2018","155.31","155.31","155.31","155.31","-","0.86%"
"Dec 14, 2018","153.99","153.99","153.99","153.99","-","-0.09%"
"Dec 13, 2018","154.13","154.13","154.13","154.13","-","0.70%"
"Dec 12, 2018","153.06","153.06","153.06","153.06","-","-2.48%"
"Dec 11, 2018","156.96","156.96","156.96","156.96","-","0.29%"
"Dec 10, 2018","156.50","156.50","156.50","156.50","-","0.47%"
"Dec 07, 2018","155.77","155.77","155.77","155.77","-","0.13%"
"Dec 06, 2018","155.57","155.57","155.57","155.57","-","0.62%"
"Dec 05, 2018","154.61","154.61","154.61","154.61","-","1.29%"
"Dec 04, 2018","152.64","152.64","152.64","152.64","-","1.31%"
"Dec 03, 2018","150.67","150.67","150.67","150.67","-","-0.02%"
"Nov 30, 2018","150.70","150.70","150.70","150.70","-","-0.09%"
"Nov 29, 2018","150.84","150.84","150.84","150.84","-","-0.09%"
"Nov 28, 2018","150.97","150.97","150.97","150.97","-","-0.09%"
"Nov 27, 2018","151.11","151.11","151.11","151.11","-","-1.81%"
"Nov 26, 2018","153.90","153.90","153.90","153.90","-","3.16%"
"Nov 23, 2018","149.18","149.18","149.18","149.18","-","0.65%"
"Nov 22, 2018","148.22","148.22","148.22","148.22","-","-0.02%"
"Nov 21, 2018","148.25","148.25","148.25","148.25","-","0.76%"
"Nov 19, 2018","147.13","147.13","147.13","147.13","-","-1.50%"
"Nov 16, 2018","149.37","149.37","149.37","149.37","-","2.46%"
"Nov 14, 2018","145.79","145.79","145.79","145.79","-","-1.45%"
"Nov 13, 2018","147.94","147.94","147.94","147.94","-","2.13%"
"Nov 12, 2018","144.86","144.86","144.86","144.86","-","-0.85%"
"Nov 09, 2018","146.10","146.10","146.10","146.10","-","-1.14%"
"Nov 08, 2018","147.78","147.78","147.78","147.78","-","0.06%"
"Nov 07, 2018","147.69","147.69","147.69","147.69","-","0.05%"
"Nov 06, 2018","147.62","147.62","147.62","147.62","-","0.66%"
"Nov 05, 2018","146.65","146.65","146.65","146.65","-","-0.37%"
"Nov 01, 2018","147.19","147.19","147.19","147.19","-","0.82%"
"Oct 31, 2018","145.99","145.99","145.99","145.99","-","0.27%"
"Oct 30, 2018","145.60","145.60","145.60","145.60","-","-0.22%"
"Oct 29, 2018","145.92","145.92","145.92","145.92","-","0.56%"
"Oct 26, 2018","145.11","145.11","145.11","145.11","-","-0.16%"
"Oct 25, 2018","145.34","145.34","145.34","145.34","-","-1.58%"
"Oct 24, 2018","147.68","147.68","147.68","147.68","-","0.52%"
"Oct 23, 2018","146.92","146.92","146.92","146.92","-","1.15%"
"Oct 22, 2018","145.25","145.25","145.25","145.25","-","-1.98%"
"Oct 19, 2018","148.18","148.18","148.18","148.18","-","1.97%"
"Oct 18, 2018","145.32","145.32","145.32","145.32","-","-0.03%"
"Oct 17, 2018","145.36","145.36","145.36","145.36","-","-0.37%"
"Oct 16, 2018","145.90","145.90","145.90","145.90","-","-1.38%"
"Oct 15, 2018","147.94","147.94","147.94","147.94","-","0.22%"
"Oct 11, 2018","147.62","147.62","147.62","147.62","-","2.88%"
"Oct 10, 2018","143.49","143.49","143.49","143.49","-","0.18%"
"Oct 09, 2018","143.23","143.23","143.23","143.23","-","0.47%"
"Oct 08, 2018","142.56","142.56","142.56","142.56","-","-3.75%"
"Oct 05, 2018","148.12","148.12","148.12","148.12","-","-2.34%"
"Oct 04, 2018","151.67","151.67","151.67","151.67","-","0.98%"
"Oct 03, 2018","150.20","150.20","150.20","150.20","-","-0.36%"
"Oct 02, 2018","150.74","150.74","150.74","150.74","-","-1.34%"
"Oct 01, 2018","152.79","152.79","152.79","152.79","-","-0.79%"
